celula;ap1;ap2
c058;-64.4300168153432;-56.5144900614074
c059;-64.8742814027449;-55.8238953102177
c060;-65.3019453721778;-55.5145373394758
c061;-45.0498790597181;-76.2497909886436
c062;-45.5938208516598;-75.8073461441388
c063;-46.5392143405871;-75.3664500706706
c064;-49.3601675553206;-74.5315513497536
c065;-51.07475779307;-73.9562474291431
c066;-52.3865551304791;-73.4539998163436
c067;-53.9679125647764;-72.1202354562698
c068;-55.6016641742965;-70.2604159990353
c069;-56.7542724529741;-69.7121213712216
c070;-57.861900791322;-69.1133388243173
c071;-58.8889384510762;-68.5174365234938
c072;-59.85982112244;-67.8770942440056
c073;-57.9029131377408;-65.2156506359844
c074;-58.0849689054906;-64.0178993394291
c075;-58.8860420277394;-63.295626924261
c076;-59.677715080269;-62.5017266124587
c077;-60.4097910281604;-61.692943450712
c078;-61.0614425354216;-61.9516811022556
c079;-61.3629517287002;-67.341187847501
c080;-61.9954556669198;-66.5782141495604
c081;-63.1302356102378;-65.6547186094196
c082;-68.716134425476;-65.9265283622821
c083;-69.7448880752212;-64.8476416140316
c084;-70.2797761030671;-63.6271513102864
c085;-64.6615353077808;-62.9156172524256
c086;-60.966214648316;-61.9962696712924
c087;-61.6663517463365;-60.2882527117162
c088;-64.1516608807958;-54.8777601936697
c089;-64.7923026333129;-53.62341119897
c090;-65.2297214273525;-53.1072413325977
c091;-46.4740794614603;-74.8763825449795
c092;-47.1950894720464;-74.4374970378211
c093;-47.8542435249659;-74.2419446706988
c094;-48.0374737866476;-74.3560346767219
c095;-49.6776865109361;-73.8662176036174
c096;-51.248547787188;-73.3514741828368
c097;-52.7564083752314;-72.7755158705689
c098;-54.5582815609495;-69.3873307444363
c099;-55.9039717515178;-68.6908825403685
c100;-57.1474614798633;-68.1296385851478
c101;-58.2496835204205;-67.4562272767661
c102;-59.335422421824;-66.9157229687104
c103;-57.9502703425307;-68.0182361102696
c104;-58.4648821247599;-67.6840252536944
c105;-59.3437013935137;-67.0325128841087
c106;-60.1525908343819;-66.1076922986397
c107;-60.8883158301501;-65.2095179552059
c108;-60.8080098254092;-66.2782897285922
c109;-61.1797014594756;-67.1705765275226
c110;-61.8368224413596;-66.1235843245954
c111;-62.4683832778453;-64.9952680541211
c112;-65.0967356139107;-64.3042877552236
c113;-69.5492105788859;-63.9899845412616
c114;-67.3274774656737;-62.8478793730249
c115;-60.4157313339183;-62.1323291991515
c116;-60.8878033069175;-60.5562585232401
c117;-61.358217297213;-58.9194593663241
c118;-62.8193346842572;-55.3291821927789
c119;-64.5957515120307;-51.5926354280513
c120;-65.0901540048498;-50.593159001695
c121;-47.5542702418911;-73.3502604147225
c122;-48.8859982597348;-72.8890112407294
c123;-50.7152279698792;-72.4948317326398
c124;-47.3404377507232;-73.9036200468979
c125;-48.2412086776024;-73.8067987084037
c126;-50.1663778019477;-73.2931843200794
c127;-51.952292766097;-71.2436618786716
c128;-53.5300556966325;-67.511468388522
c129;-55.0015708459107;-66.9109878046261
c130;-56.3140684417551;-66.3010997105726
c131;-57.4747764308809;-65.6716827204929
c132;-57.8134833333711;-65.3739405781915
c133;-56.9345302578468;-69.7866711703458
c134;-60.213572758183;-78.5680769305985
c135;-61.098882803233;-77.7883040271139
c136;-61.9309788138437;-76.9505176423954
c137;-62.7111794751611;-76.0614515179661
c138;-62.078161305756;-71.8744555361941
c139;-61.0500154076454;-66.8613564021973
c140;-61.7193684780938;-65.7722837612372
c141;-62.35310602726;-64.5539050792441
c142;-66.1002875238977;-63.7577005672628
c143;-68.9261042714622;-62.6708808949118
c144;-68.5083498529489;-61.2533679371008
c145;-61.0559650143527;-60.9812204209784
c146;-60.8059596768316;-59.1723585955762
c147;-61.2948362794787;-57.1572733893662
c148;-61.6035486608408;-59.1909985193404
c149;-61.896915669351;-61.4591087512162
c150;-62.3467853280083;-60.3014550053623
c151;-42.4774969231137;-73.3101920424293
c152;-44.9506803455108;-72.8599100022214
c153;-48.2119120000189;-72.391972178788
c154;-49.4647735163095;-72.4810999825087
c155;-49.230564920073;-72.8459178809159
c156;-51.3150064160235;-72.4057252521034
c157;-51.7992685604709;-69.0791705993284
c158;-53.0536453152087;-67.4335258653004
c159;-54.5689048374753;-66.8542061912709
c160;-55.9921612857711;-66.2177592619846
c161;-57.1953386805697;-65.5961465383676
c162;-55.7104996432514;-66.1931408673493
c163;-55.8183310685779;-65.9363566155748
c164;-58.8870656337164;-73.7620133043566
c165;-60.9525263094341;-77.6466950531384
c166;-61.7933458933279;-76.8068126899784
c167;-62.6006048051417;-75.8834906650947
c168;-63.1819110881407;-74.5392472982347
c169;-61.3430765317142;-66.7530485853939
c170;-61.8244962262535;-65.2038238001325
c171;-63.6919646142921;-64.2795807144266
c172;-68.2497282130682;-63.6713307509998
c173;-68.8606459015437;-62.1618848316603
c174;-69.4223602901549;-60.4197038006224
c175;-65.9520125605879;-59.2772292946388
c176;-60.6912860237474;-58.3917523553063
c177;-61.1451308504126;-57.379804275078
c178;-61.4041286229151;-60.7327386037867
c179;-61.8678472185489;-57.6240389276638
c180;-62.304637469039;-55.2374405501921
c181;-34.7956338795397;-73.2675307178067
c182;-40.6563157219696;-72.8416073531734
c183;-46.0308194167797;-72.3800273400013
c184;-48.0832692464266;-72.2844462816969
c185;-50.7242403679506;-71.871424377028
c186;-53.2160391182994;-71.3520566067707
c187;-53.3064067089979;-69.5227809973456
c188;-52.6810581760781;-67.4120705819088
c189;-54.2980032612902;-66.8192427241583
c190;-55.745425762122;-66.189175779424
c191;-56.2327288597946;-65.9276316549439
c192;-54.6359685393671;-66.5865071588382
c193;-55.7240797979946;-65.8571294798134
c194;-56.9382291589846;-66.0858010464139
c195;-60.5387487663859;-76.3038881453996
c196;-61.7241229944108;-76.700985780755
c197;-62.5491034177127;-75.7533322523796
c198;-62.9143264229889;-72.8038914729971
c199;-62.1968644644534;-64.7265575997312
c200;-62.8478335656322;-63.5087419495791
c201;-64.0238000607736;-62.572701680325
c202;-68.0607688109612;-63.2937492166695
c203;-68.8286301282013;-61.8016153421687
c204;-69.392757028505;-59.9754897105605
c205;-62.7132425317274;-62.8089330102283
c206;-59.8863860836411;-62.6241672560132
c207;-60.450415884526;-59.8811975077372
c208;-61.3493423287712;-58.3810267698576
c209;-61.8395467841422;-53.164180563772
c210;-62.2863349414118;-46.6754664001235
c211;-25.87177985536;-74.7487444620299
c212;-39.4374521635856;-74.2253614652332
c213;-44.8187860112007;-73.3250925314919
c214;-47.1430392144426;-72.3668230483535
c215;-50.4208971380231;-71.862419322289
c216;-53.0370631796458;-71.3379330746558
c217;-55.0509542902824;-70.6703205963957
c218;-54.8713561904501;-67.4383175544543
c219;-56.4267207928129;-66.7934711747887
c220;-57.4172234312352;-66.1778738467067
c221;-54.9465592650779;-66.7330809754625
c222;-54.5701444605743;-66.5792264648935
c223;-55.6621205420536;-65.8497727278868
c224;-56.6533551724126;-65.0910943953194
c225;-58.6976580711891;-68.6000152041055
c226;-61.4645097489428;-74.4792858871837
c227;-62.2749688022067;-73.3842372057302
c228;-61.9315241181552;-67.9480898753805
c229;-62.1343846237169;-64.6565673728967
c230;-62.8309445566712;-63.4485741401111
c231;-63.4793526638226;-62.1461928018869
c232;-65.7113141092565;-61.7595784976424
c233;-68.0372105118076;-61.3777674157481
c234;-65.6370100884452;-62.1028233585746
c235;-59.367252314466;-64.9088612866855
c236;-59.8785068641729;-62.322061975226
c237;-60.3863998326593;-58.9680534739325
c238;-61.1361639727721;-55.8834198111241
c239;-61.9629489042754;-50.3721005629522
c240;-62.375054285706;-35.7695107780562
c241;-36.7984446982018;-76.3186954247014
c242;-43.0257105598743;-75.867995722775
c243;-48.1539384154113;-75.2690001075889
c244;-48.1384442702998;-72.6641973297447
c245;-50.6688201741856;-71.8846634250496
c246;-53.2377899172122;-71.3534746078444
c247;-55.8843685712288;-69.73150744
c248;-58.5882591705902;-67.3889584061331
c249;-60.18948410954;-66.792737575064
c250;-61.6160631193643;-66.1745184835209
c251;-58.5957178521818;-66.3229079597794
c252;-54.668291282093;-66.5703214731849
c253;-55.7007511337364;-65.8736407494267
c254;-56.6932113617196;-65.112743188609
c255;-59.1565176176546;-67.0260636586945
c256;-60.7785346049496;-67.4583067745537
c257;-61.5780091462587;-66.5437056861318
c258;-61.8387336693621;-65.6585801460488
c259;-62.1581978752054;-64.7013777695994
c260;-62.8392183443176;-63.5281102580568
c261;-63.4890877940875;-62.2297344426704
c262;-64.1970468638988;-61.5042575272285
c263;-64.816656340366;-60.3048047101784
c264;-64.2318309107432;-59.9889443201904
c265;-59.5864198703663;-64.8547056005162
c266;-59.8960978061918;-62.6000159431247
c267;-60.3929634720141;-59.5095247872537
c268;-63.401324109357;-50.8548999789556
c269;-65.8320100567941;-41.9827275164398
c270;-66.2709309980323;-36.0332566022148
c271;-44.8968764707056;-76.3347164878163
c272;-47.369954106324;-75.895137371499
c273;-50.4503711477126;-75.4300295609815
c274;-51.8925420666124;-73.9948158585328
c275;-52.211029504107;-72.2884785334834
c276;-54.4250088914586;-71.7442127958428
c277;-57.0238169003478;-68.5921906219604
c278;-58.8732173148233;-67.4447069317271
c279;-60.4361795223604;-66.8441591664051
c280;-61.7952120074767;-66.2393419922264
c281;-62.4781836533295;-65.6894519525304
c282;-55.4571250333603;-66.5245022045465
c283;-55.8614142032338;-65.9126098011805
c284;-57.73741777205;-66.8204953756881
c285;-59.9931311096563;-68.4258191113797
c286;-60.8647286774927;-67.5493093966813
c287;-61.6462232109515;-66.6569420472198
c288;-62.3335875920503;-65.6896728398121
c289;-62.4622590951171;-65.0322319730852
c290;-63.1166771380481;-63.8571945029631
c291;-63.6801505511943;-62.8744114971111
c292;-64.2918154477663;-62.1255493959267
c293;-64.875126599395;-60.5780774534585
c294;-65.4299243107657;-58.8650599799443
c295;-62.3783781461902;-61.5388809104608
c296;-59.6442773346198;-63.1550105242286
c297;-61.5309092017915;-58.5058903509833
c298;-65.3946373560206;-49.5291116272198
c299;-65.8598082955149;-46.3505342889683
c300;-66.3075889469481;-44.0951053800059
c301;-49.9349808847357;-76.3738816876485
c302;-51.1654678484359;-75.9297017910365
c303;-53.0212794680434;-75.4001819229526
c304;-52.6339361779383;-73.5452606512532
c305;-54.2972709815515;-72.799766054949
c306;-56.1305783331782;-72.2839642644804
c307;-57.8683638339935;-69.833045091526
c308;-59.4249217406802;-67.4969939728366
c309;-60.827660944858;-66.9276912356788
c310;-62.163974001793;-66.2971023116612
c311;-63.3522409578426;-65.6600553015511
c312;-59.4709982229649;-65.9065480303439
c313;-56.3251587713332;-66.5423068586272
c314;-59.1816456699363;-69.2022766246999
c315;-60.1298539331195;-68.5679273029024
c316;-60.9654166962695;-67.7332643139718
c317;-61.7592893021335;-66.8343529780329
c318;-62.7073639766998;-66.2513641498052
c319;-64.0333531541318;-66.5611699246987
c320;-64.7060672968574;-65.4429075801605
c321;-65.0128482373721;-64.161480563974
c322;-64.3670397638705;-62.5846688912364
c323;-64.9423603169278;-61.1105508868158
c324;-65.4649161133697;-59.57711528899
c325;-60.0547296034744;-61.4539355596409
c326;-57.8103806392648;-61.2191648061419
c327;-59.5147348654747;-58.2827628414292
c328;-65.3831767913435;-52.1746426227268
c329;-65.908707958379;-50.1415215861814
c330;-66.3425990493211;-49.0025270310738
c331;-54.3103824703248;-77.2368004603015
c332;-55.0128378597985;-76.7560929996737
c333;-54.5456936959146;-75.1805069716712
c334;-54.0341339384715;-73.3633284333401
c335;-55.6551721369909;-72.8771017802606
c336;-57.2828036024566;-72.3504282929366
c337;-58.7721526345065;-71.4372418349676
c338;-60.8319909481964;-66.3853678490389
c339;-62.0176802046751;-65.9702222754019
c340;-63.2238433398606;-65.4062720785976
c341;-64.4276526779569;-64.6373019414424
c342;-64.5903020870849;-64.2684170102863
c343;-57.3232433544001;-68.8223131300348
c344;-58.4172631376964;-69.0164380023273
c345;-59.5516393584825;-68.3522951310866
c346;-60.2610827662307;-67.4898200112029
c347;-61.1129620415877;-66.6735754995865
c348;-63.1629844564793;-67.3820296466806
c349;-64.182586288304;-66.8716281785754
c350;-64.8260076981539;-65.8261474928103
c351;-65.4498845292195;-64.7134567652128
c352;-65.2249989340131;-63.3727770095925
c353;-64.9606920325321;-62.027997969755
c354;-62.1362894865747;-62.5658093636847
c355;-57.3626473257533;-64.213625687266
c356;-57.8843289516874;-62.5712352167111
c357;-58.3779049720501;-60.9722140464561
c358;-62.470896778039;-56.8334271679471
c359;-65.8695720683722;-53.4275674539588
c360;-66.3917291306378;-52.5982262096177
c361;-58.1347402676196;-78.2477410523755
c362;-58.6101835895446;-77.802758667207
c363;-58.9997299973608;-77.0220523287428
c364;-56.2290522429074;-73.674371357019
c365;-57.0661118096249;-72.9737100917355
c366;-58.434326534177;-72.455725503543
c367;-60.4632957140447;-69.1504854643249
c368;-63.0051837539779;-64.272319187225
c369;-64.1578077307063;-63.7110655617787
c370;-65.2615953189796;-63.1131172573785
c371;-66.2997574044379;-62.5067389362667
c372;-67.292607181479;-61.8537001692858
c373;-55.3855449286056;-68.4111132162639
c374;-55.9356147606309;-67.8810086178346
c375;-56.7599861110554;-67.1427061854562
c376;-57.558225636197;-66.341899745316
c377;-58.3109367731884;-65.5124286683693
c378;-61.6706097230894;-66.704113383879
c379;-64.3348787010862;-67.268885964586
c380;-64.9846014417931;-66.2572139555021
c381;-65.5818750759236;-65.2448451071866
c382;-64.7582373310236;-64.9222955319772
c383;-64.7431094181559;-64.0754321902219
c384;-63.4503059376203;-63.6725645827978
c385;-57.5648145513191;-65.3251167303142
c386;-57.970080724066;-64.1057694805051
c387;-58.4518306200339;-62.853576527468
c388;-59.176439027261;-60.3294633910546
c389;-59.7756137041975;-58.5592547437869
c390;-60.2202927962177;-58.127830697584
c391;-60.4489439927456;-78.3266321900749
c392;-60.7869478385837;-77.8973296231405
c393;-61.474772746912;-77.4556109080809
c394;-60.9095732630967;-75.9707945067147
c395;-58.5267503620024;-73.0542300328082
c396;-59.6951837914946;-72.3149141428485
c397;-62.5716454598174;-65.5500439285094
c398;-63.8020188214263;-64.4127749139558
c399;-64.8626165731381;-63.8501673899574
c400;-65.8318568275565;-63.2932291249838
c401;-66.7927174703287;-62.685863207983
c402;-67.7258314380447;-62.0620472348066
c403;-55.7308198545798;-68.6430305671825
c404;-56.2709652564674;-68.1226958630325
c405;-57.0665183459341;-67.4047397122657
c406;-57.8210178049641;-66.6444715733634
c407;-58.5096556942663;-65.8865656039652
c408;-59.845425547975;-65.5271088713733
c409;-64.4960394580463;-67.6645630771827
c410;-65.1420522488844;-66.8041774801545
c411;-64.9779060396677;-66.2659441390163
c412;-64.3160336305649;-65.9707417951047
c413;-64.8649506404188;-64.8912084109841
c414;-65.4119769583343;-63.8351724029969
c415;-61.4664537430892;-64.7915181695011
c416;-58.0715257851277;-65.5237096629778
c417;-58.6870623738474;-63.7647421243746
c418;-59.4100386271736;-61.4669492827151
c419;-59.8572145635233;-60.8561666739892
c420;-60.2987366879619;-60.5056281244078
c421;-62.4307744420878;-78.4182699296358
c422;-62.7208658400546;-77.9961591803307
c423;-63.1732547093021;-77.5623145049273
c424;-63.8534001404726;-77.1108204373087
c425;-61.4397303104819;-74.3473995983936
c426;-61.6471258850384;-69.5019502611256
c427;-63.7031325879734;-65.0881116724504
c428;-64.6556611561913;-64.5511379883308
c429;-65.5664891810172;-64.0177932609222
c430;-66.4628474048908;-63.4616892049325
c431;-67.341880330879;-62.8802012203299
c432;-68.144242025712;-62.3012249467578
c433;-55.8930299750852;-69.0334126894285
c434;-56.6650815005094;-68.385556548209
c435;-57.377319536961;-67.7126111883606
c436;-58.1203169112824;-66.984895959722
c437;-58.791611166016;-66.2453002068646
c438;-59.457388554296;-65.4546446243861
c439;-63.2889424908615;-67.0907480660915
c440;-65.0649537803953;-67.498494352496
c441;-64.0654369627043;-67.4878557001221
c442;-64.4878243097105;-66.6773372348616
c443;-65.0173906470373;-65.7605548324129
c444;-65.5425818992364;-64.8137879202092
c445;-65.552467421597;-64.1572215011847
c446;-59.1942220579974;-66.2097271415652
c447;-59.0394018062627;-63.9800179980943
c448;-59.5268678433904;-63.1639040385862
c449;-59.9563096624059;-62.7007734632644
c450;-60.3873479545582;-62.4549809110701
